,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
967,HYUNDAI,i20,i20,SPREMENLJIV,ROČNI,BENCIN,4,,,62.0,1.2,https://www.bolha.com/avto-oglasi/hyundai-20-1.2-letnik-2014-29000-km-bencin-deli-delih-rezer-oglas-1577630,"Hyundai i-20 1.2, letnik 2014, 29000 km, bencin deli po delih rezer...",2014.0,29000.0,,bolha,11643.0,1179.0
968,PEUGEOT,206 CC,206 CC,SPREMENLJIV,,BENCIN,4,,,,1.6,https://www.bolha.com/avto-oglasi/peugeot-206-cc-letnik-2004-180000-km-1.6-bencin-deli-delih-re-oglas-1577592,"Peugeot 206 CC, letnik 2004, 180000 km, 1.6 bencin deli po delih re...",2004.0,180000.0,,bolha,20554.0,2009.0
969,VOLKSWAGEN,Golf Cabrio,Golf IV Cabrio,SPREMENLJIV,,DIEZEL,4,,,66.0,1.9,https://www.bolha.com/avto-oglasi/vw-golf-iv-4-letnik-2002-236000-km-1.9-66kw-diesel-deli-delih-oglas-1577371,"VW Golf IV 4, letnik 2002, 236000 km, 1.9 66kw diesel deli po delih...",2002.0,236000.0,,bolha,28064.0,2683.0
970,FIAT,Bravo,Bravo,HATCHBACK,ROČNI,DIEZEL,4,,,88.0,2.0,https://www.bolha.com/avto-oglasi/fiat-scudo-letnik-2008-180000-km-diesel-2.0-oglas-1576992,"Fiat Scudo, letnik 2008, 180000 km, diesel 2.0 deli po delih rezervni",2008.0,180000.0,,bolha,8290.0,879.0
971,ALFA ROMEO,156,156,KARAVAN,ROČNI,DIEZEL,5,,,85.0,1.9,https://www.bolha.com/avto-oglasi/alfa-romeo-156-letnik-2004-1.9-85kw-341000-km-diesel-oglas-1576952,"Alfa Romeo 156, letnik 2004 1.9 85kw, 341000 km, diesel",2004.0,341000.0,,bolha,239.0,41.0
972,HYUNDAI,Elantra Sedan,Elantra 4 doors,SPREMENLJIV,ROČNI,BENCIN,5,,,,1.6,https://www.bolha.com/avto-oglasi/hyundai-elantra-letnik-2006-124-km-bencin-deli-oglas-1576935,"Hyundai Elantra, letnik 2006, 124 km, bencin deli",2006.0,124.0,,bolha,11813.0,1186.0
973,ALFA ROMEO,147 3 Doors,147 (3 Doors),HATCHBACK,,DIEZEL,5,,,88.0,1.9,https://www.bolha.com/avto-oglasi/alfa-romeo-147-letnik-2006-125000-km-diesel-1.9-88kw-bencin-1.6-oglas-1576897,"Alfa Romeo 147, letnik 2006, 125000 km, diesel 1.9 88kw bencin 1.6 ...",2006.0,125000.0,,bolha,192.0,38.0
974,CITROEN,Saxo 3 doors,Saxo 3 doors VTS,HATCHBACK,ROČNI,BENCIN,4,,,,1.1,https://www.bolha.com/avto-oglasi/citroen-saxo-letnik-2000-184187-km-bencin-oglas-1576592,"Citroen Saxo, letnik 2000, 184187 km, bencin",2000.0,184187.0,,bolha,6785.0,595.0
975,FIAT,Grande Punto / Punto Evo 3 Doors,Grande Punto 3 Doors,HATCHBACK,ROČNI,DIEZEL,3,,,63.0,1.9,https://www.bolha.com/avto-oglasi/fiat-punto-letnik-2005-220000-km-1.9-diesel-deli-delih-oglas-1579509,"Fiat Punto, letnik 2005, 220000 km, 1.9 diesel deli po delih",2005.0,200000.0,,bolha,8364.0,888.0
976,Hyundai,i20,N/A,SPREMENLJIV,,BENCIN,4,,,,1.6,https://www.bolha.com/avto-oglasi/hyundai-i20-i30-ix20-ix35-elantra-kupim-oglas-1579129,hyundai i20 i30 ix20 ix35 elantra kupim,2012.0,1337.0,50.0,bolha,,
