,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,id_razlicice,id_modela
47,Fiat,Panda,KUPIM FIAT PANDA LAHKO V OKVAR,TipVozila.SPREMENLJIV,,Motor.BENCIN,4,,,,1.2,https://www.bolha.com/avto-oglasi/fiat-panda-kupim-fiat-panda-lahko-v-okvari-poskodovana-letnik-200-oglas-1582668,"Fiat Panda KUPIM FIAT PANDA LAHKO V OKVARI POŠKODOVANA , letnik 200...",2003.0,150000.0,0.0,7980,795
48,Fiat,Stilo,KUPIM FIAT STILO LAHKO POŠKODO,TipVozila.SPREMENLJIV,,Motor.DIEZEL,4,,,,1.9,https://www.bolha.com/avto-oglasi/fiat-stilo-kupim-fiat-stilo-lahko-poskodovan-v-okvari-letnik-2004-oglas-1577764,"Fiat Stilo KUPIM FIAT STILO LAHKO POŠKODOVAN V OKVARI, letnik 2004,...",2004.0,150000.0,0.0,8536,907
49,Fiat,Grande Punto,KUPIM FIAT PUNTO GRANDE LAHKO ,TipVozila.SPREMENLJIV,,Motor.BENCIN,4,,,,1.2,https://www.bolha.com/avto-oglasi/fiat-grande-punto-kupim-fiat-punto-grande-lahko-poskodovan-v-okvari-oglas-1581944,Fiat Grande Punto KUPIM FIAT PUNTO GRANDE LAHKO POŠKODOVAN V OKVARI...,2005.0,150000.0,0.0,8358,888
50,Fiat,Bravo,KUPIM FIAT BRAVO LAHKO POŠKODO,TipVozila.SPREMENLJIV,,Motor.DIEZEL,4,,,,1.9,https://www.bolha.com/avto-oglasi/fiat-bravo-kupim-fiat-bravo-lahko-poskodovan-v-okvari-letnik-2006-oglas-1578263,"FIAT BRAVO KUPIM FIAT BRAVO LAHKO POŠKODOVAN V OKVARI, letnik 2006,...",2006.0,180000.0,0.0,8288,879
51,Alfa Romeo,Giulietta,giulieta,TipVozila.SPREMENLJIV,,Motor.DIEZEL,4,,,,1.6,https://www.bolha.com/avto-oglasi/alfa-romeo-giulietta-giulieta-letnik-2014-120000-km-diesel-oglas-1474574,"Alfa Romeo Giulietta giulieta, letnik 2014, 120000 km, diesel",2014.0,120000.0,0.0,138,26
52,Škoda,Felicia,Limuzina ,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,5,,,,1.1,https://www.bolha.com/avto-oglasi/skoda-felicia-limuzina-oglas-10150680,Škoda Felicia Limuzina,1998.0,206000.0,,24492,2380
53,Fiat,500,KUPIM FIAT 500,TipVozila.SPREMENLJIV,,Motor.BENCIN,4,,,,1.2,https://www.bolha.com/avto-oglasi/fiat-500-kupim-fiat-500-letnik-2010-120000-km-bencin-oglas-1474589,"Fiat 500 KUPIM FIAT 500, letnik 2010, 120000 km, bencin",2010.0,120000.0,0.0,7902,791
54,Fiat,Bravo,N/A,TipVozila.SPREMENLJIV,,Motor.DIEZEL,4,,,,1.9,https://www.bolha.com/avto-oglasi/fiat-bravo-letnik-2006-190000-km-diesel-lahko-poskodovan-ali-v-oglas-1578316,"Fiat Bravo, letnik 2006, 190000 km, diesel LAHKO POŠKODOVAN ALI V O...",2006.0,190000.0,0.0,8288,879
55,Fiat,Grande Punto,N/A,TipVozila.SPREMENLJIV,,Motor.BENCIN,4,,,,1.4,https://www.bolha.com/avto-oglasi/fiat-grande-punto-letnik-2005-150000-km-bencin-lahko-v-okvari-al-oglas-1576606,"Fiat Grande Punto, letnik 2005, 150000 km, bencin LAHKO V OKVARI AL...",2005.0,150000.0,0.0,8359,888
56,Fiat,Croma,N/A,TipVozila.KARAVAN,,Motor.DIEZEL,4,,,,1.9,https://www.bolha.com/avto-oglasi/fiat-croma-letnik-2003-235000-km-diesel-kupim-lahko-poskodovan-oglas-1576354,"Fiat Croma, letnik 2003, 235000 km, diesel KUPIM LAHKO POŠKODOVAN",2003.0,235000.0,0.0,8315,884
57,Peugeot,407 SW,2.0,TipVozila.KARAVAN,,Motor.DIEZEL,5,,,,1.997,https://www.bolha.com/avto-oglasi/peugeot-407-sw-2.0-oglas-10150547,Peugeot 407 SW 2.0,2005.0,405000.0,1200.0,20945,2037
